word,Frequency,Avg Streams With Word,Avg Streams Without Word,Difference (With - Without)
know,27,709617023.92,445918076.1243837,263698947.79561627
one,29,665433585.4642857,446018107.3944831,219415478.06980264
young,26,652720421.3846154,446190573.93162966,206529847.45298576
go,33,648666691.8484849,445896021.65110016,202770670.19738472
bad,32,619488553.40625,446151121.7858586,173337431.62039143
dont,36,618098806.1764706,446083880.9465529,172014925.22991776
love,131,544345458.6076924,444494370.3571265,99851088.25056589
lil,49,444825989.17021275,447414427.87702703,-2588438.706814289
girl,25,426848388.0,447497763.82545376,-20649375.82545376
baby,56,413772817.2075472,447789111.8522779,-34016294.64473069
la,85,406645077.75,448089289.3575153,-41444211.607515275
music,26,357482330.8333333,447870783.1783554,-90388452.34502208
te,30,336073198.9285714,448086304.4841893,-112013105.55561787
back,28,313269342.7777778,448199239.6883408,-134929896.910563
song,27,306561683.32,448176342.26400715,-141614658.94400716
que,29,304495441.1785714,448284594.9567168,-143789153.77814537
2,30,292524284.48275864,448394723.42193806,-155870438.93917942
el,49,263800100.9375,449372488.4929038,-185572387.55540383
version,30,250808432.0,448621719.0331913,-197813287.03319132
de,52,248971175.74509802,449668474.14382327,-200697298.39872524
